Online Post ID,Twitter ID,Related Online Post ID,Source ID,Online Post Text,Subjectivity,Sentiment Polarity,Emotion,Sarcasm,Irony,Negation,Off-topic,Language
20200001,,,N-1-2020,"""the problems the Labour government had first inherited, were now consigned to the history books."" Of course he would rather not speak of the ""problems"" inherited by the labour (for crying out loud) government. It must give him nightmares thinking about EU membership, the Euro and a fledgling economy despite the global financial meltdown.",1,negative,disgust,1,0,1,0,0
20200002,,20200001,N-1-2020,Yes any problems that they may have inherited may well have been consigned to the history books but there are many of their own making that will trouble the country for many years to come.,1,negative,sadness,0,0,0,0,0
20200003,,20200002,N-1-2020,One of them is the total obliteration of the PNEEEEEE opposition.,1,negative,anger,0,0,0,1,0
20200004,,20200003,N-1-2020,Is that the best you can come up with.,1,neutral,surprise,0,1,0,1,0
20200005,,20200003,N-1-2020,"Isn't worrying you, your stutter is getting worse by the day.",1,negative,disgust,0,0,1,1,0
20200006,,20200002,N-1-2020,"I am sure you must have Cameron, May and Johnson in mind!",1,neutral,anticipation,0,1,0,1,0
20200007,,20200006,N-1-2020,"For avoidance of doubt, no, strictly referring to Maltese politics. There are different (albeit serious) issues that refer to UK politics!",1,neutral,anticipation,0,0,0,1,0
20200008,,,N-1-2020,"At this stage, there is no true alternative to Labour. PM Muscat is pushing the right buttons. Anything else is a side-interest.",1,neutral,trust,0,0,1,0,0
20200009,,20200008,N-1-2020,True. Sadly the minority parties are slow to form coalitions and thus are easily sidelined. Right now PN are the same as PL and we have no effective Opposition.,1,negative,sadness,0,0,1,1,0
20200010,,20200009,N-1-2020,What you and James Dewar wrote shows that both of you are either not Maltese or else you don't know what we went through under 25 years of PN rule.,1,negative,anger,0,0,1,1,0
20200011,,20200010,N-1-2020,"what you wrote, shows that u might not be Maltese or else u don't know what we went through under the 16 years prior to the PN era, where everything was liberalised. telecommunications spread like wild fire, liberty was restored after burning down of Times. wages went up (wage freeze MLP) bulk buying was annulled. We could speak out (MLP law of foreign interference). Lock out of education schools. No chocolates or pasta or toothpaste. No Japanese cars, No colour tv's if not with a surcharge given to 3rd parties. No work but paramilitary groups. (pijunieri). and some more.",1,negative,anger,0,0,1,1,2
20200012,,20200010,N-1-2020,"No, I am not Maltese and no expert but have closely followed Maltese politics in its various colours for around 35 years. I think I have a reasonable grasp of things both past and present.",1,neutral,anticipation,0,0,1,1,0
20200013,,20200010,N-1-2020,"So what is it we went through in these 25 years? Just asking, because I have been here regularly between 1989 and 1995, and from then onwards permanently. Since then political violence became more or less history. Malta joined the EU. It passed the 2008 world wide economy meltdown pretty much unscratched. We have the liberalisation of markets since then. Liberalisation of law from some of Maltese antique rule of law. etc. I could continue, but let me finalise my thought with...the PL government strictly opposed to EU accession is the one that thrives today because of PN politics! So again, enlighten us please, what we went through in these 25 years of PN rule?",1,positive,surprise,0,1,0,1,0
20200014,,20200008,N-1-2020,"Correct, sadly.",1,negative,sadness,0,0,0,1,0
20200015,,20200008,N-1-2020,There was really no need for the Prime minister to talk about the good of the budget everybody and his dog know that it was due within 24 hours when in the morning read the all-out super efforts by three of the local media houses in their efforts to tarnish the administration into as bad a light as could be.,1,negative,sadness,0,0,1,0,0
20200016,,,N-1-2020,"The budget has,of course, to be sent to Brussels for approval first, before it can he put to Parliament.",1,neutral,anticipation,0,0,0,0,0
20200017,,20200016,N-1-2020,"That's one of the problems which has been relegated to the history books, Rod. Tonio is no longer minister responsible for the budget.",1,neutral,sadness,0,0,0,1,0
20200018,,20200016,N-1-2020,.... and what is the point you want to make?,1,neutral,surprise,0,0,0,1,0
20200019,,20200016,N-1-2020,"ncw there is a surplus, the EU cannot but approve it, contrary to the budgets of the PN governmemt which had deficits , thus forcing the PN government to cut €40 million from its budget !",1,positive,anticipation,0,0,1,0,0
20200020,,20200016,N-1-2020,Could be the Maltese traitors over there could do something about it.,1,negative,disgust,0,0,0,1,0
20200021,,,N-1-2020,“Peace of mind”. This land is becoming exponentially sinister.,1,negative,fear,0,0,0,0,0
20200022,,20200021,N-1-2020,"I would like to give him a piece of my mind. The Malta of my childhood has been pillaged. It bears little resemblance , the people have changed.",1,negative,sadness,0,0,0,1,0
20200023,,20200022,N-1-2020,changed? even the PNEEEEEE is no more.,1,neutral,surprise,0,0,1,1,0
20200024,,20200022,N-1-2020,Yes of course the Malta where you could feel lord is no more. The people changed and are not longer servile.,1,positive,sadness,0,0,1,1,0
20200025,,20200024,N-1-2020,"A one dimensional critique. Malta now has more lords than ever. Hereditory politicians. Land and cement barons. Castille glitterati , hangers on. The whole EU royal family. Servility is Malta's current destiny.",1,negative,fear,0,1,0,1,0
20200026,,20200021,N-1-2020,Peace of mind my foot. First Muscat says no taxes in the budget then taxes are introduced during the year.,1,negative,anger,0,0,1,0,0
